,Expriment,N_packets_before_preprocessing,N_packets_after_preprocessing,Preprocessing_time(s),Extraction_time(ms),Property,DyNetKat_total_time(s),Result
0,ring,975,36,4.7,1.05,h1h5,0.33,Satisfied
1,ring,975,36,4.7,1.05,h3h6,0.91,Satisfied
2,ring,975,36,4.7,1.05,h3h5,0.36,Violated
3,mesh,2742,40,8.18,1.16,h1h2,0.38,Satisfied
4,mesh,2742,40,8.18,1.16,h1h3,0.44,Satisfied
5,mesh,2742,40,8.18,1.16,h1h4,0.43,Satisfied
6,mesh,2742,40,8.18,1.16,h1h5,0.44,Satisfied
7,mesh,2742,40,8.18,1.16,h1h6,0.42,Satisfied
8,race_condition,3271,32,2.69,0.91,h1h3,0.34,Satisfied
9,race_condition,3271,32,2.69,0.91,h2h4,0.94,Satisfied
10,race_condition,3271,32,2.69,0.91,h1h4,0.35,Violated
11,race_condition,3271,32,2.69,0.91,h2h3,0.34,Violated
12,isolation,5618,32,11.15,0.95,h1h4,0.34,Satisfied
13,isolation,5618,32,11.15,0.95,h3h6,0.94,Satisfied
14,isolation,5618,32,11.15,0.95,h1h6,0.34,Violated
15,blackhole,7511,24,8.79,0.83,h1h4,0.34,Satisfied
16,blackhole,7511,24,8.79,0.83,h2h3_before_rcfg,0.33,Satisfied
17,blackhole,7511,24,8.79,0.83,h2h3_after_rcfgs,0.82,Satisfied
18,blackhole,7511,24,8.79,0.83,h2h4,0.33,Violated
19,blackhole,7511,24,8.79,0.83,h1h3,0.33,Violated
20,Fattree_Faulty,19224,60,57.66,1.68,h2h8,0.5,Satisfied
21,Fattree_Faulty,19224,60,57.66,1.68,h5h7,23.33,Satisfied
22,Fattree_Faulty,19224,60,57.66,1.68,h1h8,0.71,Satisfied
23,Fattree_Faulty,19224,60,57.66,1.68,h1h7,23.47,Violated
24,Fattree_Faulty,19224,60,57.66,1.68,h5h8,0.55,Violated
25,Fattree_Faulty,19224,60,57.66,1.68,h2h7,0.64,Violated
26,star,20791,72,7.06,2.09,h1h2,0.69,Satisfied
27,star,20791,72,7.06,2.09,h1h3,1.05,Satisfied
28,star,20791,72,7.06,2.09,h1h4,1.02,Satisfied
29,star,20791,72,7.06,2.09,h1h5,1.13,Satisfied
30,star,20791,72,7.06,2.09,h1h6,1.02,Satisfied
31,Linear_Faulty,22451,56,7.15,1.58,h7h10,0.5,Satisfied
32,Linear_Faulty,22451,56,7.15,1.58,h6h10,0.54,Satisfied
33,Linear_Faulty,22451,56,7.15,1.58,h4h10,23.58,Violated
34,Linear_Faulty,22451,56,7.15,1.58,h6h8,23.63,Violated
